FLIGHT_ID,DATETIME,AIRLINE_CODE,ORIGIN_IATA,DEST_IATA,DISTANCE,TOTAL_DELAY,CANCELLATION_REASON,AIR_SYSTEM_DELAY,WEATHER_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY
237,2015-05-19,WN,TPA,BNA,612,10.0,,False,False,False,False,False
238,2015-08-13,EV,DTW,ALB,489,0.0,,False,False,False,False,False
239,2015-03-30,DL,MSP,BOS,1124,0.0,,False,False,False,False,False
240,2015-11-05,UA,DEN,IAH,862,4.0,,False,False,False,False,False
241,2015-08-23,AS,BRW,ANC,725,0.0,,False,False,False,False,False
242,2015-01-03,EV,MCI,ORD,403,57.0,,False,False,False,False,True
243,2015-09-02,AA,LAX,JFK,2475,0.0,,False,False,False,False,False
244,2015-12-08,DL,CLT,ATL,226,0.0,,False,False,False,False,False
245,2015-04-26,US,MIA,PHL,1013,0.0,,False,False,False,False,False
246,2015-01-19,MQ,CMI,ORD,135,0.0,,False,False,False,False,False
247,2015-03-13,US,BNA,CLT,328,16.0,,False,False,False,False,False
248,2015-06-30,B6,LGA,FLL,1076,0.0,,False,False,False,False,False
249,2015-03-03,US,LAS,PHX,255,0.0,,False,False,False,False,False
250,2015-09-15,OO,HLN,MSP,913,0.0,,False,False,False,False,False
251,2015-09-30,WN,OAK,SEA,672,13.0,,False,False,False,False,False
252,2015-04-22,UA,SRQ,EWR,1034,11.0,,False,False,False,False,False
253,2015-12-30,DL,ATL,DCA,547,321.0,,False,True,False,False,True
254,2015-09-20,UA,LAX,IAH,1379,0.0,,False,False,False,False,False
255,2015-07-06,WN,TPA,ATL,406,0.0,,False,False,False,False,False
256,2015-08-14,DL,ATL,BWI,577,0.0,,False,False,False,False,False
257,2015-09-01,B6,TPA,BDL,1111,128.0,,True,False,False,False,False
258,2015-04-13,DL,MSP,GRR,408,15.0,,False,False,False,False,False
259,2015-06-06,DL,ATL,CLT,226,0.0,,False,False,False,False,False
260,2015-11-07,AS,SEA,ANC,1448,0.0,,False,False,False,False,False
261,2015-09-10,AA,BOS,DFW,1562,152.0,,False,True,False,False,False
262,2015-08-10,OO,LAX,SMF,373,1.0,,False,False,False,False,False
263,2015-02-02,WN,DSM,LAS,1216,206.0,,False,False,False,False,True
264,2015-03-28,WN,DAL,DCA,1184,1.0,,False,False,False,False,False
265,2015-11-09,B6,PBI,LGA,1035,0.0,,False,False,False,False,False
266,2015-02-01,DL,MSP,TPA,1306,0.0,,False,False,False,False,False
267,2015-03-10,AA,DFW,ATL,731,3.0,,False,False,False,False,False
268,2015-09-05,HA,KOA,HNL,163,0.0,,False,False,False,False,False
269,2015-03-29,VX,DAL,LAX,1246,4.0,,False,False,False,False,False
270,2015-06-10,MQ,DFW,ABI,158,0.0,,False,False,False,False,False
271,2015-09-12,DL,JFK,MSP,1029,18.0,,False,False,False,False,False
272,2015-09-16,OO,MCI,ORD,403,0.0,,False,False,False,False,False
273,2015-09-08,WN,MDW,LGA,725,84.0,,True,False,False,True,True
274,2015-01-13,EV,CVG,EWR,569,0.0,,False,False,False,False,False
275,2015-08-11,WN,SNA,DEN,846,31.0,,True,False,False,False,True
276,2015-04-06,UA,MSP,ORD,334,0.0,,False,False,False,False,False
277,2015-07-19,EV,DTW,GRR,120,0.0,,False,False,False,False,False
278,2015-03-30,WN,DEN,IND,977,0.0,,False,False,False,False,False
279,2015-05-01,AA,ORD,MIA,1197,0.0,,False,False,False,False,False
280,2015-09-28,WN,LAS,ATL,1747,33.0,,True,False,False,True,False
281,2015-07-24,WN,SFO,SNA,372,12.0,,False,False,False,False,False
282,2015-01-13,DL,MCO,MSP,1310,0.0,,False,False,False,False,False
283,2015-12-16,EV,HSV,IAH,595,39.0,,True,False,False,False,False
284,2015-05-04,EV,EWR,DTW,488,0.0,,False,False,False,False,False
285,2015-07-10,EV,AMA,IAH,517,0.0,,False,False,False,False,False
286,2015-07-22,WN,SEA,BWI,2335,1.0,,False,False,False,False,False
287,2015-04-25,UA,ORD,RSW,1120,0.0,,False,False,False,False,False
288,2015-05-06,DL,ORD,ATL,606,0.0,,False,False,False,False,False
289,2015-09-28,AA,CLT,MCO,468,32.0,,False,False,False,True,False
290,2015-07-17,DL,ATL,DCA,547,7.0,,False,False,False,False,False
291,2015-07-21,WN,LAX,PHX,370,155.0,,False,False,False,False,True
292,2015-03-07,NK,MSY,FLL,674,0.0,,False,False,False,False,False
293,2015-12-23,WN,LAS,DAL,1067,19.0,,False,False,False,False,False
294,2015-08-25,DL,MKE,DTW,237,30.0,,False,False,False,True,True
295,2015-07-03,WN,HOU,DEN,883,3.0,,False,False,False,False,False
296,2015-03-29,DL,ATL,SLC,1590,0.0,,False,False,False,False,False
297,2015-04-27,OO,SFO,SLC,599,0.0,,False,False,False,False,False
298,2015-09-30,WN,MSP,STL,448,0.0,,False,False,False,False,False
